date,decision,cumulative_savings_usd
2025-08-29,FIX NOW,0.0
2025-09-02,FIX NOW,0.0
2025-09-03,FIX NOW,0.0
2025-09-04,FIX NOW,0.0
2025-09-05,FIX NOW,0.0
2025-09-08,FIX NOW,0.0
2025-09-09,FIX NOW,0.0
2025-09-10,FIX NOW,0.0
2025-09-11,FIX NOW,0.0
2025-09-12,FIX NOW,0.0
2025-09-15,HOLD,18000.0
2025-09-16,HOLD,30000.0
2025-09-17,HOLD,54000.0
2025-09-18,HOLD,78750.0
2025-09-19,FIX NOW,78750.0
2025-09-22,FIX NOW,78750.0
2025-09-23,HOLD,99000.0
2025-09-24,HOLD,121500.0
2025-09-25,HOLD,147000.0
2025-09-26,FIX NOW,147000.0
2025-09-29,FIX NOW,147000.0
2025-09-30,FIX NOW,147000.0
2025-10-01,FIX NOW,147000.0
2025-10-02,FIX NOW,147000.0
2025-10-03,FIX NOW,147000.0
2025-10-06,FIX NOW,147000.0
2025-10-07,FIX NOW,147000.0
2025-10-08,FIX NOW,147000.0
2025-10-09,FIX NOW,147000.0
2025-10-10,FIX NOW,147000.0
2025-10-13,FIX NOW,147000.0
2025-10-14,FIX NOW,147000.0
2025-10-15,FIX NOW,147000.0
2025-10-16,FIX NOW,147000.0
2025-10-17,FIX NOW,147000.0
2025-10-20,FIX NOW,147000.0
2025-10-21,FIX NOW,147000.0
2025-10-22,FIX NOW,147000.0
2025-10-23,FIX NOW,147000.0
2025-10-24,FIX NOW,147000.0
2025-10-27,FIX NOW,147000.0
2025-10-28,FIX NOW,147000.0
2025-10-29,FIX NOW,147000.0
2025-10-30,FIX NOW,147000.0
2025-10-31,FIX NOW,147000.0
2025-11-03,FIX NOW,147000.0
2025-11-04,FIX NOW,147000.0
2025-11-05,FIX NOW,147000.0
2025-11-06,FIX NOW,147000.0
2025-11-07,FIX NOW,147000.0
2025-11-10,FIX NOW,147000.0
2025-11-11,FIX NOW,147000.0
2025-11-12,FIX NOW,147000.0
2025-11-13,FIX NOW,147000.0
2025-11-14,FIX NOW,147000.0
2025-11-17,FIX NOW,147000.0
2025-11-18,FIX NOW,147000.0
2025-11-19,FIX NOW,147000.0
2025-11-20,FIX NOW,147000.0
2025-11-21,FIX NOW,147000.0
2025-11-24,FIX NOW,147000.0
2025-11-25,HOLD,183750.0
2025-11-26,HOLD,213750.0
2025-11-28,FIX NOW,213750.0
2025-12-01,HOLD,232500.0
2025-12-02,HOLD,249750.0
2025-12-03,HOLD,268500.0
2025-12-04,HOLD,294750.0
2025-12-05,FIX NOW,294750.0
2025-12-08,HOLD,315750.0
2025-12-09,FIX NOW,315750.0
2025-12-10,FIX NOW,315750.0
2025-12-11,FIX NOW,315750.0
2025-12-12,FIX NOW,315750.0
2025-12-15,HOLD,321750.0
2025-12-16,HOLD,298500.0
2025-12-17,FIX NOW,298500.0
