Scheme,Fold,Model,MAE ($/MT),MAPE (%),RMSE ($/MT),Directional Accuracy (%),Accuracy (±10%),Max Outlier Miss ($/MT)
Scheme 2 (Macro-Regime Folds),Regime 2 (Ukraine War Shock),Bi-LSTM (Solo Attention),0.767,8.609999656677246,0.963,53.89,63.61,2.93
Scheme 2 (Macro-Regime Folds),Regime 2 (Ukraine War Shock),Uni-LSTM (Solo Attention),1.095,11.970000267028809,1.57,61.39,55.56,4.532
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),LightGBM (Solo Baseline),0.544,6.56,0.717,58.12,75.51,2.538
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),Hybrid: LightGBM + TCN,0.584,7.62,0.71,62.47,72.54,1.97
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),Hybrid: LightGBM + PatchTST,0.776,8.71,1.048,48.97,61.56,3.271
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),Hybrid: LightGBM + Bi-LSTM,0.475,5.69,0.657,60.41,80.55,2.509
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),Hybrid: LightGBM + Uni-LSTM,0.571,6.67,0.774,56.06,73.46,2.546
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),TCN (Solo Causal),0.962,12.210000038146973,1.113,63.16,41.42,2.787
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),PatchTST (Solo Transformer),1.141,12.65999984741211,1.627,45.08,50.57,5.553
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),Bi-LSTM (Solo Attention),0.502,5.989999771118164,0.692,59.04,82.15,2.481
Scheme 2 (Macro-Regime Folds),Regime 3 (Red Sea Crisis),Uni-LSTM (Solo Attention),0.768,8.979999542236328,1.025,50.34,65.45,3.063
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),LightGBM (Solo Baseline),1.64,13.01,2.202,47.08,40.79,8.754
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),Hybrid: LightGBM + TCN,1.275,10.4,1.833,56.29,56.73,7.487
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),Hybrid: LightGBM + PatchTST,1.712,12.89,2.312,55.7,41.08,9.186
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),Hybrid: LightGBM + Bi-LSTM,1.907,15.06,2.45,55.41,28.8,8.679
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),Hybrid: LightGBM + Uni-LSTM,2.257,17.58,2.808,54.39,17.98,9.356
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),TCN (Solo Causal),2.212,19.18000030517578,3.312,53.07,39.62,14.767
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),PatchTST (Solo Transformer),2.167,17.559999465942383,2.692,59.21,27.19,9.618
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),Bi-LSTM (Solo Attention),2.603,22.389999389648438,3.093,55.7,13.01,8.604
Scheme 3 (Tri-Split Block Validation),Transition 1 (Block 1 -> Block 2),Uni-LSTM (Solo Attention),3.313,27.530000686645508,3.754,53.36,2.78,9.958
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),LightGBM (Solo Baseline),0.797,8.64,1.053,51.75,61.84,3.091
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),Hybrid: LightGBM + TCN,0.891,10.82,1.021,56.43,46.49,2.423
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),Hybrid: LightGBM + PatchTST,1.351,14.27,1.732,48.68,40.06,4.752
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),Hybrid: LightGBM + Bi-LSTM,1.119,11.87,1.413,47.37,48.83,3.811
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),Hybrid: LightGBM + Uni-LSTM,1.017,10.86,1.339,49.42,47.51,3.893
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),TCN (Solo Causal),1.252,16.270000457763672,1.463,63.45,39.91,3.058
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),PatchTST (Solo Transformer),2.005,21.25,2.509,46.78,23.83,6.429
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),Bi-LSTM (Solo Attention),1.541,16.469999313354492,1.868,46.05,24.71,4.541
Scheme 3 (Tri-Split Block Validation),Transition 2 (Block 2 -> Block 3),Uni-LSTM (Solo Attention),1.286,13.710000038146973,1.67,54.09,40.94,4.705
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),LightGBM (Solo Baseline),0.845,9.22,1.101,49.85,56.58,2.951
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),Hybrid: LightGBM + TCN,0.867,9.2,1.2,52.92,60.23,3.392
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),Hybrid: LightGBM + PatchTST,0.93,10.19,1.205,51.32,54.97,3.255
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),Hybrid: LightGBM + Bi-LSTM,0.994,10.75,1.263,49.42,50.58,3.315
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),Hybrid: LightGBM + Uni-LSTM,0.84,9.23,1.082,51.61,59.36,3.433
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),TCN (Solo Causal),1.038,10.890000343322754,1.438,54.97,58.48,4.39
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),PatchTST (Solo Transformer),1.136,12.539999961853027,1.473,51.61,47.37,4.118
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),Bi-LSTM (Solo Attention),1.292,14.140000343322754,1.573,46.93,34.8,4.259
Scheme 3 (Tri-Split Block Validation),Transition 3 (Blocks 1+2 -> Block 3),Uni-LSTM (Solo Attention),1.01,11.180000305175781,1.321,51.75,46.64,4.602
