combo_id,num_features,added_candidates,val_mae,val_rmse,val_mape
8,12,bunker_to_freight_ratio+freight_roll_std_30,2.015945308839226,2.3028829251295706,20.72924023111731
34,13,freight_roll_std_30+freight_spread_to_ma14+coal_price,2.0233969783610912,2.3044168525413804,20.82636932265138
15,12,freight_roll_std_30+coal_price,2.023915741872321,2.304273073911085,20.83366654023546
58,15,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+bunker_price+coal_price,2.0275470424299704,2.323956974188695,20.828816921098237
25,13,bunker_to_freight_ratio+freight_roll_std_30+coal_price,2.0327995243363137,2.3188401797470783,20.913015144555693
23,13,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14,2.035500434562417,2.319379711874307,20.94690964198013
36,13,freight_roll_std_30+bunker_price+coal_price,2.035531984885916,2.319996099036571,20.946657615247904
33,13,freight_roll_std_30+freight_spread_to_ma14+bunker_price,2.0395300699686265,2.3262623135969704,20.982320247144425
44,14,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+coal_price,2.0402114395662125,2.3257568114811855,20.994583238869403
46,14,bunker_to_freight_ratio+freight_roll_std_30+bunker_price+coal_price,2.0427217267687983,2.334282935569577,21.004906911272805
13,12,freight_roll_std_30+freight_spread_to_ma14,2.043222067697134,2.319603929315932,21.050220221554934
24,13,bunker_to_freight_ratio+freight_roll_std_30+bunker_price,2.0471070208203948,2.3397922811664444,21.046921723530808
3,11,freight_roll_std_30,2.0509897326023503,2.3274565604133763,21.133001707294962
53,14,freight_roll_std_30+freight_spread_to_ma14+bunker_price+coal_price,2.051868668581194,2.335903231169965,21.1237469158519
39,13,freight_spread_to_ma14+bunker_price+coal_price,2.0538700911090206,2.3413131444981965,21.13516944372476
43,14,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+bunker_price,2.054003631542128,2.34606488406329,21.122308341615312
14,12,freight_roll_std_30+bunker_price,2.0576503635668923,2.344028143309412,21.176626580268234
20,12,bunker_price+coal_price,2.0578547185354124,2.3472338221519493,21.17304031020162
18,12,freight_spread_to_ma14+coal_price,2.073815072444252,2.3551371506487087,21.36525526777015
11,12,bunker_to_freight_ratio+coal_price,2.0777579573522513,2.3677287400888107,21.383378333462407
6,11,coal_price,2.0809183476175694,2.3613125621844238,21.443056781658385
28,13,bunker_to_freight_ratio+freight_spread_to_ma14+coal_price,2.0837195309723917,2.371556900014919,21.4531573608188
49,14,bunker_to_freight_ratio+freight_spread_to_ma14+bunker_price+coal_price,2.0871392132981974,2.3840964862354244,21.46638833056693
30,13,bunker_to_freight_ratio+bunker_price+coal_price,2.0880716741610197,2.386640250775996,21.470318444799727
9,12,bunker_to_freight_ratio+freight_spread_to_ma14,2.0892226471856494,2.375061050845615,21.516779499311735
27,13,bunker_to_freight_ratio+freight_spread_to_ma14+bunker_price,2.0918677537387316,2.3842108994527234,21.526499538120554
2,11,bunker_to_freight_ratio,2.0952609293113005,2.3779298411240073,21.589462840245282
4,11,freight_spread_to_ma14,2.0969254830466495,2.371954086836007,21.628884997137117
5,11,bunker_price,2.0988263456069207,2.3834088932661652,21.621480922102858
17,12,freight_spread_to_ma14+bunker_price,2.101261895902349,2.384615257213541,21.65084431402339
1,10,None (Base Only),2.10762353271775,2.383198912626641,21.741112560940422
10,12,bunker_to_freight_ratio+bunker_price,2.1127304297911063,2.407206440742007,21.743230842463305
19,12,freight_spread_to_ma14+sin_month,2.3539471625127963,2.671757830307961,24.244829493445856
22,12,coal_price+sin_month,2.3864525686632003,2.709099884761584,24.578693505040654
16,12,freight_roll_std_30+sin_month,2.395830020179667,2.735146842935983,24.630934568628145
21,12,bunker_price+sin_month,2.40168246378887,2.7181693856115765,24.758654918439298
7,11,sin_month,2.409324988946863,2.736045712305064,24.811241328213892
