Model,Mean Multi-Horizon MAE ($/MT),Mean Multi-Horizon MAPE (%),Mean Multi-Horizon Dir Acc (%),Mean Multi-Horizon Acc (±10%),Multi-Horizon Rank
XGBoost,0.56,6.736666838328044,59.129999999999995,74.28666666666668,1
LightGBM,0.5763333333333334,6.676666666666667,54.26666666666667,74.11666666666666,2
PatchTST,0.5990000000000001,7.179999828338623,55.80666666666667,75.61,3
Bi-LSTM + Attention,0.6896666666666667,8.28000005086263,58.38666666666666,67.56,4
Uni-LSTM + Attention,0.819,9.569999694824219,51.20666666666667,59.88333333333333,5
Hybrid Ensemble,0.907,10.606666564941406,52.60333333333333,63.663333333333334,6
TCN,1.3883333333333334,16.003333409627277,51.47,44.76333333333333,7
