Feature,Mean_Abs_SHAP
freight_lag_1,0.7361841686666344
bpi_daily_hire,0.6427203420637257
freight_roll_mean_7,0.2976195269625106
freight_current,0.2638275959960854
usd_inr_rate,0.2451022483812057
freight_roll_mean_14,0.19533260839812527
freight_lag_7,0.1607424576987166
freight_lag_30,0.10992163369229481
freight_roll_mean_30,0.08469760175940445
freight_lag_14,0.07069239965983777
bunker_to_freight_ratio,0.058344429257556854
freight_roll_std_30,0.033409796643331144
freight_spread_to_ma14,0.028767987685994426
bunker_pct_change_14d,0.021498750363952737
sin_month,0.016970079291389068
bunker_pct_change_7d,0.01637540603338373
bunker_lag_7,0.012340019212933347
freight_roll_std_7,0.005479022330826028
bunker_price,0.004791536818816333
cos_month,0.0028210003167499285
bpi_pct_change_7d,0.002418757407442166
bpi_lag_7,0.0019105878903308267
coal_price,0.0001521294650513969
