Model,Mean MAE ($/MT),Std MAE ($/MT),Mean MAPE (%),Mean Dir Acc (%),Mean Acc (±10%),Worst Outlier ($/MT),Rolling Rank
LightGBM,1.1123999999999998,0.24799254021038614,12.908000000000001,53.254,40.403999999999996,6.44,1
XGBoost,1.1562,0.30926315655118053,13.319999694824219,52.798,42.962,7.022,2
Hybrid Ensemble,1.2176,0.3730768017446274,13.755999946594239,51.834,42.206,5.235,3
PatchTST,1.3546,0.6261599635875803,16.053999996185304,58.602,42.55,4.933,4
TCN,1.4756,0.711712231172122,15.951999855041503,50.952,42.364,8.366,5
Bi-LSTM + Attention,1.5134,0.3446430037009311,17.497999954223634,47.778,27.024,6.414,6
Uni-LSTM + Attention,1.7469999999999999,0.43035160043852516,21.098000526428223,46.204,27.366000000000003,6.437,7
